"Designator","MidX(mm)","MidY(mm)","Layer","Rotation"
"F2","9.0619mm","10.5451mm","BottomLayer","0"
"R3","9.0580mm","12.0500mm","BottomLayer","0"
"R2","8.9804mm","3.0366mm","BottomLayer","0"
"USB","3.7604mm","8.0000mm","BottomLayer","90"
"U1","14.6050mm","8.2550mm","BottomLayer","180"
"R10","10.5895mm","4.9779mm","BottomLayer","180"
"R8","14.4396mm","13.8383mm","BottomLayer","180"
"R7","9.2441mm","13.8383mm","BottomLayer","180"
"R6","14.8550mm","2.4638mm","BottomLayer","0"
"R1","17.6337mm","13.4475mm","BottomLayer","0"
"D8","10.8208mm","10.3370mm","BottomLayer","270"
"D7","12.1750mm","6.7252mm","BottomLayer","270"
"D6","12.5042mm","8.7811mm","BottomLayer","90"
"D1","19.2052mm","11.2520mm","BottomLayer","90"
"C7","12.1840mm","11.8160mm","BottomLayer","270"
"C6","16.9337mm","11.1550mm","BottomLayer","270"
